locus_tag	gene_name	gene_product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sll1732	ndhF3	NADH dehydrogenase subunit 5 (involved in low C O2-inducible;  high affinity CO2 uptake)	3591.9957724999335	-4.807157085335026	0.16934808590230294	-28.386249893065102	2.989291893870916e-177	1.4850802128750712e-173
slr1512	sbtA	sodium-dependent bicarbonate transporter	2997.404206104134	-4.051739067002898	0.16273614251173377	-24.89759806559723	7.8994536611589475e-137	1.9622242894318826e-133
sll0529	sll0529	hypothetical protein	2331.6840401941545	-2.344657726730803	0.10349721295324106	-22.654307877740575	1.265164722844416e-113	2.095112781030353e-110
sll0217	sll0217	flavoprotein	1274.525110033532	-3.074487451502506	0.13983852042309836	-21.985983849087308	3.922022167533933e-107	4.871151532077145e-104
sll1594	ndhR	ndhF3 operon transcriptional regulator;  LysR fa mily protein	477.44488146188945	-4.370095962239663	0.2086341591518554	-20.946215039785827	2.0315033131709508e-97	2.0185016919666567e-94
slr2006	slr2006	hypothetical protein	333.5212813849809	-4.42235326979786	0.2260356216093941	-19.564851054494437	3.083030123064679e-85	2.5527489418975542e-82
sll0218	sll0218	hypothetical protein	204.8621533435098	-4.234658781396499	0.23567633451239392	-17.96811203024631	3.4630094203512834e-72	2.4577472571864537e-69
slr1513	sbtB	periplasmic protein;  function unknown	3262.4018605122533	-4.257906337966072	0.25102798259840525	-16.96187928489978	1.5723410902618966e-64	9.764238170526378e-62
sll1031	ccmM	carbon dioxide concentrating mechanism protein CcmM;  putative carboxysome structural protein	3128.2785900919325	-1.8377097587441915	0.10953855365128505	-16.776830599703946	3.6057376116657585e-63	1.9903671616394987e-60
sll1735	sll1735	hypothetical protein	1341.9762333461886	-2.697855574687725	0.1626979360477441	-16.581990160563763	9.406152738319102e-62	4.67297668039693e-59
slr0009	rbcL	ribulose bisphosphate carboxylase large subunit	6777.917026593197	-1.6243874742665014	0.09899467263716442	-16.40883727370069	1.65341639510271e-60	7.46742968260933e-58
slr2007	ndhD5	NADH dehydrogenase subunit 4	832.2473955944965	-3.159147063757072	0.19853895883608547	-15.911975575359373	5.233562732801322e-57	2.1666949713797473e-54
ssl2384	ssl2384	unknown protein	428.8107571856873	2.911261819401075	0.18920846128894395	15.386530811406104	2.0155268405542375e-53	7.702413341441116e-51
ncl0690	ncl0690	ncl0690	174.79180656489865	-5.174052447043963	0.3393468752398976	-15.247090291862046	1.721347406309673e-52	6.108324224676039e-50
slr1281	ndhJ	NADH dehydrogenase subunit I	880.2726661005397	-1.8082184964706627	0.11919666327392883	-15.170042908962564	5.584030284541583e-52	1.849430830240172e-49
slr1232	slr1232	unknown protein	705.2791122738572	1.827448184155161	0.12087967690337822	15.11791089262987	1.2339554095808028e-51	3.8314315467483926e-49
slr0513	slr0513	iron transport system substrate-binding protein ;  periplasmic protein	861.2715597475922	1.882917703048846	0.1296480124680282	14.523305581049167	8.624870092169007e-48	2.5204914481115077e-45
ssr2227	ssr2227	putative transposase	403.91309518140093	2.454046604798013	0.1734797933616575	14.14600834624009	1.9766291806424503e-45	5.455496538573163e-43
slr2076	groEL1	60kD chaperonin	18182.30107618476	2.3870423091927293	0.16915630606235468	14.11145918682342	3.228282430394899e-45	8.441109007474661e-43
sll1733	ndhD3	NADH dehydrogenase subunit 4 (involved in low C O2-inducible;  high affinity CO2 uptake)	1583.5443912816186	-3.1516606982382624	0.2235699601321752	-14.096977502590203	3.96386582290718e-45	9.846242704101435e-43
slr2075	groES	10kD chaperonin	3342.899219337216	2.4252847366116788	0.17313738397407138	14.007862894445045	1.3954117567006323e-44	3.301145527280353e-42
slr1167	gldA	glycerol dehydrogenase	874.2046820656625	1.557814475548122	0.1116204028990651	13.956359546173703	2.877615064803723e-44	6.498178019065862e-42
sll0262	desD	acyl-lipid desaturase (delta 6)	459.2530657674692	-2.0719539094857784	0.1487285945515759	-13.931106629043477	4.0995396044918824e-44	8.855005545702466e-42
sll1734	cupA	protein involved in low CO2-inducible;  high aff inity CO2 uptake	1953.5907550113861	-3.7174690523129765	0.2690009345267143	-13.819539544922277	1.943087506698248e-43	4.022191138865373e-41
slr5053	slr5053	hypothetical protein	1467.3520263331131	-2.7800065329616133	0.20223598710321736	-13.746349365322164	5.3564964195144004e-43	1.0644429684859016e-40
slr1280	ndhK	NADH dehydrogenase subunit NdhK	1015.0936613572491	-1.5969151474815202	0.1167894222722544	-13.673457034138428	1.4627723017035642e-42	2.7950203057166564e-40
slr0787	slr0787	hypothetical protein	589.089828504888	1.9667052936049516	0.147125863916017	13.367502091458197	9.363271693348338e-41	1.7228419915760942e-38
sll1514	hspA	16.6 kDa small heat shock protein;  molecular ch aperone	17431.44551382786	5.109701974828733	0.3844425560673319	13.2911975903464	2.603771395215844e-40	4.6198343897972543e-38
sll1029	ccmK1	carbon dioxide concentrating mechanism protein CcmK	1413.5208276430908	-1.5994694076179432	0.1212188661058327	-13.194888378360943	9.389384742054464e-40	1.608498737880227e-37
slr1350	desA	acyl-lipid desaturase (delta 12)	718.8639254115951	-1.509003859816024	0.1152991079747345	-13.087732301855207	3.8698985870327563e-39	6.408552060126244e-37
