locus_tag	gene_name	gene_product	TUs	rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Norf1	Norf1	hypothetical protein	TU292	BA000022.2-298948-minus	247.1551136312652	-2.96387116603883	0.2648180940636527	-11.192102173072897	4.45738666799342e-29	1.53779840045773e-25
slr0623	trxA	thioredoxin	TU3128	BA000022.2-2961377-plus	120.19301390002391	4.38252590299511	0.42380487146547907	10.340904973179592	4.6017118794395565e-25	7.937952992033235e-22
slr2051	cpcG1	phycobilisome rod-core linker polypeptide	TU584	BA000022.2-597201-plus	133.6943803383735	3.931148575483761	0.3861591938007863	10.180124255986978	2.4325056686987164e-24	2.7973815190035238e-21
slr1834	psaA	P700 apoprotein subunit Ia	TU958	BA000022.2-943753-plus	67.36304998488022	-3.949533720988077	0.39275459099826293	-10.055983587485409	8.645374555943424e-24	7.456635554501202e-21
ssr2799	rpl27	50S ribosomal protein L27	TU2028	BA000022.2-1958360-plus	115.89667475896754	-2.9102179117924076	0.29179389388366833	-9.973539449569998	1.9900773473131644e-23	1.3731533696460834e-20
sll1578	cpcA	phycocyanin alpha subunit	TU716	BA000022.2-726537-minus	74.33799039999798	-3.5742062848494274	0.3620322148816656	-9.87261944635976	5.471671925324883e-23	3.146211357061808e-20
slr1841	slr1841	probable porin	TU971	BA000022.2-959937-plus	346.54125644899995	2.6671079268775695	0.2745222223172376	9.715453650216565	2.5909269599926876e-22	1.276956858853539e-19
slr1146,sml0011	NA	NA	TU807	BA000022.2-811104-minus	64.26476108739887	-3.758328512746782	0.40135566391543165	-9.364084901860728	7.671213734460652e-21	3.308210922986156e-18
	NA	NA	TU3505	BA000022.2-3324448-minus	32.9861838947623	-4.4342581501018925	0.4782247519496385	-9.272330911405566	1.8212162983051055e-20	6.981329143502904e-18
slr1835	psaB	P700 apoprotein subunit Ib	TU959	BA000022.2-946051-plus	41.38658919166678	-4.430702088842115	0.485136321001323	-9.1329012012482	6.668771536711063e-20	2.3007261801653164e-17
slr1986	apcB	allophycocyanin beta subunit	TU1472	BA000022.2-1431349-plus	233.1499234557585	3.9400116798214313	0.4518560239196169	8.719617469396272	2.791432504096019e-18	8.754947399210241e-16
sll1578	cpcA	phycocyanin alpha subunit	TU716	BA000022.2-726531-minus	63.06760318892596	-3.3371426911760627	0.3875936197711015	-8.609900991525237	7.31237032617428e-18	2.1023064687751056e-15
Norf1	Norf1	hypothetical protein	TU292	BA000022.2-298934-minus	59.68713639678583	-2.8227351002757786	0.3325056381823267	-8.489284920720518	2.0791241730998177e-17	5.517675690149516e-15
slr0261	ndhH	NADH dehydrogenase subunit 7	TU1546	BA000022.2-1511125-plus	29.402262181749535	-4.906203958133494	0.5796265672005394	-8.464422156888547	2.5742578769817577e-17	6.343706911133617e-15
CRISPR3	CRISPR3 array	CRISPR3 array		AP004311.1-91410-plus	295.11123051205107	2.2716502741289224	0.2736995244621974	8.299796203857403	1.0429013826991285e-16	2.3986731802079957e-14
sll1501	cobB	cobyrinic acid a; c-diamide synthase	TU475	BA000022.2-484800-minus	102.95106459315134	4.022337886513706	0.49325236999547895	8.154725919615093	3.4997263060571404e-16	7.546284847435709e-14
ssr2831	psaE	photosystem I subunit IV	TU2056	BA000022.2-1982115-plus	61.01625978586728	-3.0420456116766776	0.375088787313701	-8.110201409813136	5.053592483639088e-16	1.0255820040326384e-13
sll1514	hspA	16.6 kDa small heat shock protein;  molecular ch aperone	TU445	BA000022.2-460321-minus	51.70602458329608	-3.3726009677283937	0.4241926008308709	-7.950636010912122	1.855563939652271e-15	3.3693134693685975e-13
slr2051	cpcG1	phycobilisome rod-core linker polypeptide	TU584	BA000022.2-597228-plus	65.37109109175552	3.653570893332316	0.45936162630695176	7.953583155618118	1.8119306248836408e-15	3.3693134693685975e-13
	NA	NA	TU2928	BA000022.2-2781082-plus	61.48836373329548	-2.80516304508862	0.35532148751301684	-7.894718286593505	2.909717164728382e-15	5.019262109156459e-13
sll1578	cpcA	phycocyanin alpha subunit	TU716	BA000022.2-726814-minus	45.097868430468175	3.81281958234569	0.48716360295525246	7.826569060611677	5.013639554492686e-15	8.236693553809412e-13
	NA	NA	TU2928	BA000022.2-2781083-plus	27.092495705045106	-3.874641194603425	0.4984186961062719	-7.773868084950974	7.612501584784367e-15	1.193778657613912e-12
slr1908	slr1908	probable porin	TU599	BA000022.2-612152-plus	622.3724385632851	-2.0909570567029236	0.27020640281039254	-7.738369760875638	1.0069962914916592e-14	1.5104944372374888e-12
slr1634	slr1634	hypothetical protein	TU2127	BA000022.2-2047190-plus	28.734206745215566	-4.092305698932601	0.5320817965444461	-7.691121413116716	1.4585094309139042e-14	2.0966073069387375e-12
slr1834	psaA	P700 apoprotein subunit Ia	TU958	BA000022.2-942037-plus	22.89781806143553	-4.61539603833611	0.6021370401333359	-7.665025950428306	1.787950478533205e-14	2.4673716603758228e-12
sll0427	psbO	photosystem II manganese-stabilizing polypeptid e	TU2166	BA000022.2-2086362-minus	59.2085351666192	3.0734861819420427	0.40313114964639524	7.6240354649794195	2.4586577153291584e-14	3.14161819180948e-12
slr1835	psaB	P700 apoprotein subunit Ib	TU959	BA000022.2-946113-plus	46.83921101989863	-2.9820111292170326	0.39092027737428586	-7.628182270938869	2.380867857633407e-14	3.14161819180948e-12
sll1580	cpcC1	phycobilisome rod linker polypeptide	TU716	BA000022.2-724719-minus	30.749595318430732	-3.1562050449784773	0.41535229110763683	-7.598862730627288	2.987444566923792e-14	3.680958484245387e-12
ssr2799	rpl27	50S ribosomal protein L27	TU2028	BA000022.2-1958300-plus	27.4609330551604	-3.4338033513506243	0.46429429923157484	-7.3957473891747165	1.406151010887863e-13	1.6728348232976304e-11
slr1311_5'UTR	psbA2	5'UTR of photosystem II D1 protein	TU13	BA000022.2-7197-plus	40.87471712269771	-2.6090049397753097	0.35351634312714	-7.380153677469438	1.5810692864584986e-13	1.8182296794272734e-11
slr1841	slr1841	probable porin	TU971	BA000022.2-959306-plus	51.22541511276621	2.7402273001207402	0.3719891946405241	7.366416389510425	1.7527578610709977e-13	1.95064987764353e-11
slr1634	slr1634	hypothetical protein	TU2127	BA000022.2-2047201-plus	19.101828651890184	-4.219002989418529	0.580993291553758	-7.261706891891288	3.8223578641887523e-13	4.1209795723284986e-11
sll1789	rpoC2	RNA polymerase beta prime subunit	TU865	BA000022.2-853575-minus	30.925076379113005	-2.956389917931341	0.4129812840769169	-7.158653507844485	8.147332177744283e-13	8.517665458550841e-11
slr0628	rps14	30S ribosomal protein S14	TU2793	BA000022.2-2645050-plus	90.1195755300649	-2.452027639641825	0.34393008072142917	-7.129436408988832	1.0078072551253403e-12	1.0226279500536541e-10
Norf1	Norf1	hypothetical protein	TU292	BA000022.2-298952-minus	21.634283728337522	-3.27514067390353	0.4701508463114646	-6.966148629952314	3.257350163425599e-12	3.2108165896623764e-10
Norf1	Norf1	hypothetical protein	TU292	BA000022.2-298915-minus	34.66618729737227	-2.5285176821151722	0.3676500177542795	-6.877512743124952	6.090657636082435e-12	5.836880234579e-10
sll1577	cpcB	phycocyanin beta subunit	TU716	BA000022.2-727464-minus	27.932252447871235	3.1514280971741098	0.46234055526680556	6.816248458575079	9.344862505396472e-12	8.713452876653467e-10
	NA	NA	TU475	BA000022.2-484796-minus	74.90631652193541	3.7602503772399283	0.5522187291025007	6.809349591150801	9.804097386396743e-12	8.788765141768423e-10
slr1841	slr1841	probable porin	TU971	BA000022.2-958986-plus	27.749360979938064	3.4581817215420214	0.5080003812240749	6.807439225162009	9.93512581243387e-12	8.788765141768423e-10
	NA	NA	TU5115	AP004310.1-103159-plus	41.61249488599848	2.525485082836383	0.37183863067916667	6.791884636148646	1.1067804084319101e-11	9.545981022725224e-10
Norf1	Norf1	hypothetical protein	TU292	BA000022.2-298918-minus	13.682101899936137	-4.3104190297993386	0.6393343612346607	-6.742041865973236	1.5617606281817457e-11	1.314164431030981e-9
sll1578	cpcA	phycocyanin alpha subunit	TU716	BA000022.2-726626-minus	18.112063873765578	-4.058657503976913	0.602668846372298	-6.734473713727823	1.645243423554196e-11	1.351449955062375e-9
ncr0700	ncr0700	ncr0700; DsiR1	TU1715	BA000022.2-1679074-plus	63.87344300004323	3.532893190498567	0.5253824527227664	6.7244217468427765	1.7629113007448777e-11	1.3991271872720003e-9
sll1578	cpcA	phycocyanin alpha subunit	TU716	BA000022.2-726534-minus	27.648604918596718	-3.1197821220981923	0.4640697546681124	-6.722657727025022	1.7843940939121165e-11	1.3991271872720003e-9
sll1260	rps2	30S ribosomal protein S2	TU1778	BA000022.2-1722219-minus	20.284401983354964	-3.222059576309267	0.48033244003972364	-6.707978282796811	1.9733929116498533e-11	1.512934565598221e-9
sll0057	grpE	heat shock protein GrpE	TU2721	BA000022.2-2589108-minus	90.39828197052356	-1.8831395226979355	0.28255093810320664	-6.664778872580087	2.6506414064573026e-11	1.9456835855909986e-9
slr0623	trxA	thioredoxin	TU3128	BA000022.2-2961353-plus	37.63375673033044	3.955275088978635	0.5932080098347979	6.667602297008998	2.6001622187480844e-11	1.9456835855909986e-9
sll1501	cobB	cobyrinic acid a; c-diamide synthase	TU475	BA000022.2-484801-minus	53.3877727914529	3.0886587600955164	0.46472662312726726	6.646184243353915	3.007887087912543e-11	2.1619188444371404e-9
slr1146,sml0011	NA	NA	TU807	BA000022.2-811016-minus	58.467619907415354	-2.4037909540086795	0.3657662839063973	-6.571931475848741	4.9666720894239804e-11	3.4969425935740273e-9
sll1789	rpoC2	RNA polymerase beta prime subunit	TU865	BA000022.2-853514-minus	797.588629069431	-1.761594793397985	0.26949298759716384	-6.536699930876138	6.289104902019686e-11	4.339482382393584e-9
